subject,priority,destination,status
"Re: PY26000008 - CT 4480 // 324PAR - Terrestre","media","03_OPERACIONES/01_ABIERTAS","movido"
"Are You Testing Your Emails the Right Way? ðŸ¤”","baja","00_PENDIENTE_TRIAGE","movido"
"Resumen semanal de actualizaciones de productos","baja","00_PENDIENTE_TRIAGE","movido"
"Tu resumen semanal de WPForms para joathilogistica.com","media","03_OPERACIONES/01_ABIERTAS","movido"
"Re: EPUET2268 || **TRANSPORTE** xpd global Uruguay || COTMVD2290 || CLIENTE: NOROSEBE","media","03_OPERACIONES/01_ABIERTAS","movido"
"NEWS Transporte Carretero |  NÂº 186 - Especial Mes de la Mujer - 3era. Parte, y muchas mÃ¡s!","baja","00_PENDIENTE_TRIAGE","movido"
"Token de acceso vencido","alta","08_PENDIENTES_CRITICOS","movido"
"Tu token de acceso estÃ¡ a punto de vencer","baja","00_PENDIENTE_TRIAGE","movido"
"Re: PY26000008 - CT 4480 // 324PAR - Terrestre","media","03_OPERACIONES/01_ABIERTAS","movido"
"rhernandez1, your slow site is costing you (literally)! ðŸ˜¶","baja","00_PENDIENTE_TRIAGE","movido"
