subject,priority,destination,status
"FACTURA PINES LONG","media","03_OPERACIONES/01_ABIERTAS","movido"
"RE: C102 VIRASORO","baja","00_PENDIENTE_TRIAGE","movido"
"Re: CotizaciÃ³n UY-PY-UY","media","03_OPERACIONES/01_ABIERTAS","movido"
"Re: CT 4475 // 321PAR -- BOGG01693400 - terrestre","media","03_OPERACIONES/01_ABIERTAS","movido"
"Re: PY26000008 - CT 4480 // 324PAR - Terrestre","media","03_OPERACIONES/01_ABIERTAS","movido"
"RE: EPUET2268 || **TRANSPORTE** xpd global Uruguay || COTMVD2290 || CLIENTE: NOROSEBE","baja","00_PENDIENTE_TRIAGE","movido"
"BOGG02693500 -- CT 4484 // 329PAR // PY26000009 / PY26000010 - TERRESTRE","media","03_OPERACIONES/01_ABIERTAS","movido"
"Re: CT 4475 // 321PAR -- BOGG01693400 - documentos","media","03_OPERACIONES/01_ABIERTAS","movido"
"Re: CT 4475 // 321PAR -- BOGG01693400 - terrestre","media","03_OPERACIONES/01_ABIERTAS","movido"
"Re: CT 4475 // 321PAR -- BOGG01693400 - documentos","media","03_OPERACIONES/01_ABIERTAS","movido"
