subject,priority,destination,status
"Preveedorew presenta ","baja","00_PENDIENTE_TRIAGE","simulado"
"å›žå¤: å›žå¤: Chainway RFID","media","03_OPERACIONES/01_ABIERTAS","simulado"
"van las operativas","baja","00_PENDIENTE_TRIAGE","simulado"
"Re: CT 4475 // 321PAR -- BOGG01693400 - terrestre","media","03_OPERACIONES/01_ABIERTAS","simulado"
"Quartier Punta Ballena en VENTA","baja","00_PENDIENTE_TRIAGE","simulado"
"FACTURA ","media","05_DOCUMENTACION/03_FACTURAS","simulado"
"Re: BOGG02693500 -- CT 4484 // 329PAR // PY26000009 / PY26000010 - TERRESTRE","media","03_OPERACIONES/01_ABIERTAS","simulado"
"RE: BOGG02693500 -- CT 4484 // 329PAR // PY26000009 / PY26000010 - TERRESTRE","media","03_OPERACIONES/01_ABIERTAS","simulado"
"BOGG02693500 -- CT 4484 // 329PAR // PY26000009 / PY26000010 - TERRESTRE","media","03_OPERACIONES/01_ABIERTAS","simulado"
"Re: PY26000008 - CT 4480 // 324PAR - Terrestre","media","03_OPERACIONES/01_ABIERTAS","simulado"
