subject,priority,destination,status
"Carta DNA","baja","00_PENDIENTE_TRIAGE","movido"
"LUCIA & JOATHIVA","baja","00_PENDIENTE_TRIAGE","movido"
"Re: EPUET2268 || **TRANSPORTE** xpd global Uruguay || COTMVD2290 || CLIENTE: NOROSEBE","baja","00_PENDIENTE_TRIAGE","movido"
"RE: EPUET2268 || **TRANSPORTE** xpd global Uruguay || COTMVD2290 || CLIENTE: NOROSEBE","baja","00_PENDIENTE_TRIAGE","movido"
"RE: EPUET2268 || **TRANSPORTE** xpd global Uruguay || COTMVD2290 || CLIENTE: NOROSEBE","media","03_OPERACIONES/01_ABIERTAS","movido"
"Firma","baja","00_PENDIENTE_TRIAGE","movido"
"Re: CT 4487 // 334PAR - BOGG03001300 - TERRESTRE","media","03_OPERACIONES/01_ABIERTAS","movido"
"CT 4487 // 334PAR - BOGG03001300 - TERRESTRE","media","03_OPERACIONES/01_ABIERTAS","movido"
"When Emails Don't Send ...","baja","00_PENDIENTE_TRIAGE","movido"
"Re: CT 4475 // 321PAR -- BOGG01693400 - terrestre","media","03_OPERACIONES/01_ABIERTAS","movido"
